username,name,password,degree,email
816031001,Daniel Rasheed,password123,BSc,daniel.rasheed@my.uwi.edu
816031002,Michelle Liu,password123,BSc,michelle.liu@my.uwi.edu
816031003,Stayaan Maharaj,password123,MSc,stayaan.maharaj@my.uwi.edu
816031004,Daniel Yatali,password123,BSc,daniel.yatali@my.uwi.edu
816031005,Satish Maharaj,password123,MSc,satish.maharaj@my.uwi.edu
816031006,Selena Madrey,password123,BSc,selena.madrey@my.uwi.edu
816031007,Veron Ramkissoon,password123,BSc,veron.ramkissoon@my.uwi.edu
816031008,Tamika Ramkissoon,password123,BSc,tamika.ramkissoon@my.uwi.edu
816031009,Samuel Mahadeo,password123,BSc,samuel.mahadeo@my.uwi.edu
816031010,Neha Maharaj,password123,MSc,neha.maharaj@my.uwi.edu
