username,name,password,degree,email,experience
816031011,Alicia Riley,password123,BSc,alicia.riley@my.uwi.edu,0
816031012,Mikkel Anderson,password123,BSc,mikkel.anderson@my.uwi.edu,0
816031013,Sydney Mahabir,password123,BSc,sydney.mahabir@my.uwi.edu,1
816031014,Jamal Blank,password123,BSc,jamal.blank@my.uwi.edu,1
816031015,Rebecca Daniels,password123,BSc,rebecca.daniels@my.uwi.edu,1
816031016,Korey Anders,password123,BSc,korey.anders@my.uwi.edu,1
816031017,Sasha Mahadeo,password123,BSc,sasha.mahadeo@my.uwi.edu,1
816031018,Tiffany Saunders,password123,BSc,tiffany.saunders@my.uwi.edu,0
816031019,Isreal Kim,password123,BSc,isreal.kim@my.uwi.edu,1
816031020,Andres Herrera,password123,BSc,andres.herrera@my.uwi.edu,1
816031021,Jamari Bradford,password123,BSc,jamari.bradford@my.uwi.edu,1
816031022,Jessie Andrews,password123,BSc,jessie.andrews@my.uwi.edu,1
816031023,Jewell Peters,password123,BSc,jewell.peters@my.uwi.edu,1
816031024,Ariel Maharaj,password123,BSc,ariel.maharaj@my.uwi.edu,1
816031025,Cindy Peters,password123,BSc,"cindy.peters@my.uwi,edu",1
816031026,Shania Rose,password123,BSc,shania.rose@my.uwi.edu,1
